months,adoption_rate,enrolled_hh,cost
1.0,1.7409340550194665,336410.27999805467,11129293.088035645
2.0,1.9645012551753416,379611.40193944727,12558494.204661766
3.0,2.215273482468188,428069.50117421633,14161609.272596013
4.0,2.4961563369265853,482346.04280574055,15957212.961120913
5.0,2.8102581296206104,543041.6629088847,17965175.81318318
6.0,3.1608745157625577,610793.199099381,20206566.009205274
7.0,3.551463178938366,686268.7986283764,22703487.530623265
8.0,3.985606493499324,770160.7034306535,25478841.4712446
9.0,4.466960057345578,863175.3048308021,28555997.022065014
10.0,4.999185109324806,966020.0841847847,31958359.43504314
11.0,5.58586318587041,1079387.1215118936,35708824.44741722
12.0,6.230391995325987,1203932.9747167348,39829112.636066385
13.0,6.935862455254716,1340254.918830997,44338983.352226466
14.0,7.704918188845194,1488863.7957297775,49255336.52223037
15.0,8.539600515967596,1650154.0608992616,54591221.71969983
16.0,9.441184050546896,1824372.0150112954,60354787.18661119
17.0,10.41001030042112,2011583.6495071284,66548216.084819585
18.0,11.44532894073226,2211643.9749801583,73166711.8022811
19.0,12.545158389656432,2424170.0794560397,80197606.65360445
20.0,13.706178580442435,2648520.40814287,87619676.4023865
21.0,14.92366900087487,2883782.790455246,95402744.16523568
22.0,16.191503819040545,3128773.4981392473,103507649.25219166
23.0,17.502213035801176,3382049.0621016882,111886638.09697911
24.0,18.847114134796552,3641931.7118656207,120484205.8577944
25.0,20.21651296501606,3906548.193216491,129238380.60208458
26.0,21.599966205002165,4173880.4856063575,138082401.16507232
27.0,22.98659155728734,4441825.742734113,146946700.1340013
28.0,24.365406721415766,4708261.794170204,155761070.80563578
29.0,25.72567500517706,4971113.929719642,164456876.57995006
30.0,27.05723468661059,5228418.543856888,172969156.47714552
31.0,28.35079106045471,5478379.5694704065,181238492.10700473
32.0,29.598154185095545,5719414.4190155715,189212527.51708266
33.0,30.79241102134456,5950187.247839136,196847069.62663823
34.0,31.928027044309527,6169628.589200944,204106737.80224025
35.0,33.00087861221236,6376941.609078947,210965170.7823543
36.0,34.008222635000365,6571596.245067839,217404832.7774568
37.0,34.94861390386408,6753313.231506267,223416484.98130608
38.0,35.82178262203119,6922040.4340773355,228998402.66036347
39.0,36.62848528992885,7077924.035526899,234155421.90531865
40.0,37.37034141341956,7221276.98189625,238897895.7535827
41.0,38.04966689698647,7352546.788169298,243240629.11961085
42.0,38.669312849085735,7472284.389742635,247201848.32366076
43.0,39.23251621536034,7581115.279458425,250802246.23268336
44.0,39.74276643787685,7679713.741434017,254064129.8509909
45.0,40.20369039409577,7768780.617185197,257010684.7680293
46.0,40.61895629174397,7849024.734702854,259665360.7858072
47.0,40.99219601056757,7921147.902121989,262051375.47195074
48.0,41.32694456671086,7985833.210090101,264191327.1728058
49.0,41.62659487943977,8043736.291091933,266106905.8500489
50.0,41.89436577986016,8095479.137597825,267818688.56958008
51.0,42.133281152762905,8141646.071527528,269346006.1613095
52.0,42.346158187257934,8182781.473855462,270706868.10882336
53.0,42.53560288042431,8219388.91575626,271917933.8055065
54.0,42.70401115238434,8251931.374076676,272994519.68289167
55.0,42.85357416268898,8280832.258650028,273950633.19678956
56.0,42.98628664712909,8306477.02326418,274799026.12213725
57.0,43.10395730860613,8329215.173546732,275551260.9788598
58.0,43.20822048845798,8349362.522279628,276217785.6433158
59.0,43.30054851250774,8367203.575094174,276808012.27305305
60.0,43.38226424861288,8382993.957035476,277330397.58362615
61.0,43.454553530864224,8396962.813358849,277792522.27294415
62.0,43.518477202012924,8409315.13655434,278201168.005059
63.0,43.57498260284486,8420233.986501854,278562390.8584476
64.0,43.62491439784859,8429882.582374616,278881590.53140825
65.0,43.66902467330946,8438406.253949536,279163574.89628553
66.0,43.70798227936069,8445934.246823225,279412619.7205294
67.0,43.74238141369906,8452581.381090658,279632523.5399317
68.0,43.77274946349629,8458449.566680932,279826657.78972197
69.0,43.79955413507814,8463629.181064432,279998012.3825641
70.0,43.82320990950506,8468200.316700265,280149236.9772365
71.0,43.8440838673316,8472233.906586593,280282678.214651
72.0,43.862500928401644,8475792.736775165,280400413.2143644
