months,adoption_rate,enrolled_hh,cost
1.0,0.8858980339064968,171186.9583899192,5663292.550934502
2.0,0.9996632523494523,193170.43839600513,6390561.028235841
3.0,1.1272721198286983,217829.00298387965,7206327.991214199
4.0,1.2702031905405966,245448.36132773937,8120045.413624939
5.0,1.4300381709592154,276334.1552847712,9141824.692208443
6.0,1.6084541001800834,310810.4483598895,10282386.657866046
7.0,1.807210467646137,349217.23639293975,11552979.222969431
8.0,2.028130213396588,391906.7761320985,12965255.92139015
9.0,2.273073538271989,439238.5244354923,14531108.484637175
10.0,2.543903513585964,491572.4928385756,16262446.99433218
11.0,2.842442652991784,549260.8556966204,18170922.258583445
12.0,3.170419926712474,612637.7114524476,20267587.0891256
13.0,3.529408190298934,682006.9916505916,22562496.3012807
14.0,3.9207526874600886,757628.6451452208,25064249.65301677
15.0,4.345492171648057,839703.3959894198,27779487.597819984
16.0,4.8042752475396595,928356.5776387025,30712356.479732376
17.0,5.297275696055203,1023621.7707378322,33863967.230434336
18.0,5.824111704158985,1125425.1954501304,37231879.02847894
19.0,6.3837749169183535,1233572.001795926,40809645.74941372
20.0,6.974575873093322,1347735.7258708833,44586467.1511235
21.0,7.594112475672463,1467452.197233931,48546987.31499153
22.0,8.239267511552677,1592119.0596213127,52671278.78992208
23.0,8.906239769808828,1721001.7841012913,56935041.52253097
24.0,9.590611033593065,1853246.614287983,61310031.1171822
25.0,10.287448301970674,1987900.3192299372,65764712.3109244
26.0,10.991437348409058,2123936.0016528717,70265112.77468114
27.0,11.6970405674469,2260283.599541291,74775832.18182477
28.0,12.398669465738616,2395863.2175334287,79261144.89404966
29.0,13.090860531043509,2529619.111055063,83686124.24147913
30.0,13.768442832572982,2660552.0726580843,88017713.94371109
31.0,14.426686632808659,2787748.149100964,92225678.14263265
32.0,15.061424368279303,2910402.0191308786,96283374.7978973
33.0,15.669138244725108,3027833.919979961,100168315.65773708
34.0,16.247011943683873,3139499.6389138442,103862496.80436726
35.0,16.79294709380534,3244993.6960744923,107352503.95038441
36.0,17.305547836310414,3344046.3619788396,110629413.77016497
37.0,17.784078756989018,3436515.528486939,113688524.97116917
38.0,18.22840256607451,3522374.666340717,116528959.89921679
39.0,18.63890421912516,3601698.162623802,119153179.46500194
40.0,19.016407823783272,3674645.2641967507,121566451.95278902
41.0,19.362091859625618,3741443.695161605,123776311.04518381
42.0,19.677407152068856,3802373.806507673,125792031.45379011
43.0,19.964000865043595,3857753.8887971397,127624143.02613139
44.0,20.2236486487287,3907927.0606979015,129283996.98553833
45.0,20.458196089177374,3953249.9549721954,130783391.63536766
46.0,20.669509803912444,3994083.268409021,132134259.72714145
47.0,20.859437924468363,4030784.125647986,133348415.83674951
48.0,21.02977929201491,4063700.12667994,134437359.44088912
49.0,21.182260439787647,4093164.89903519,135412127.77233168
50.0,21.318519313887933,4119494.9520639847,136283191.7516568
51.0,21.440094659326398,4142987.625943213,137060388.13526636
52.0,21.548420041197847,4163919.936355087,137752881.29446718
53.0,21.64482155665228,4182548.132358697,138369148.5887566
54.0,21.730518402315578,4199107.806035836,138916983.99318057
55.0,21.806625579604688,4213814.415253958,139403515.39263907
56.0,21.874158137027738,4226864.103429205,139835231.7016967
57.0,21.934036457720257,4238434.721266167,140218016.666288
58.0,21.987092198558507,4248686.974405475,140557186.83076915
59.0,22.034074572614735,4257765.63741724,140857531.69985586
60.0,22.075656739237328,4265800.788591462,141123354.58857706
61.0,22.112442126273866,4272909.031616014,141358513.0384368
62.0,22.144970558024305,4279194.679714811,141566457.99166524
63.0,22.17372410176583,4284750.885404012,141750271.16637826
64.0,22.199132576541594,4289660.704985629,141912700.27268708
65.0,22.22157869171361,4293998.091498412,142056191.86199623
66.0,22.241402800792862,4297828.813326637,142182921.7168785
67.0,22.258907269380046,4301211.298241361,142294822.77406985
68.0,22.274360465629137,4304197.4044996835,142393610.6343608
69.0,22.28800038828181,4306833.1219098335,142480806.7555821
70.0,22.30003795167769,4309159.2066117935,142557759.45273468
71.0,22.310659949762602,4311211.75382895,142625662.84604627
72.0,22.32003172242984,4313022.713099908,142685573.90612772
