months,adoption_rate,enrolled_hh,cost
1,0.8769266224004072,169453.3631121201,5605940.885156713
2,1.0471950931545522,202355.2778952174,6694418.48096853
3,1.2483900603821045,241233.28999686678,7980600.316321346
4,1.485245646987618,287002.20007093233,9494750.28384662
5,1.7628638454135264,340647.8942290439,11269483.960832346
6,2.086594240985553,403204.10231990623,13338999.7149983
7,2.4618446571656665,475715.8078681827,15737868.213799156
8,2.893810137081908,559186.8776821924,18499299.88092113
9,3.3871133676544245,654510.5790265201,21652846.230644856
10,3.9453604213885276,762383.733160827,25221559.85229306
11,4.57063217408679,883208.4391820697,29218743.189240824
12,5.262953094901861,1016989.4253994394,33644552.66577696
13,6.019802066047118,1163239.5223316685,38482871.49753743
14,6.835748463119152,1320909.3405025455,43698983.25717547
15,7.702302879629395,1488358.4251196545,49238617.59902097
16,8.608057961347598,1663382.4702705634,55028850.57272592
17,9.539157321694264,1843303.930027825,60981102.265145525
18,10.480073662818356,2025122.379072273,66996111.10565847
19,11.414614019652817,2205708.761540762,72970360.10367227
20,12.327018940128747,2382017.791675438,78803103.5931027
21,13.203000270980406,2551288.490893037,84403001.4999689
22,14.030576754632092,2711205.6547754775,89693461.07410975
23,14.800612765310545,2860003.9560172935,94616080.87494212
24,15.507027754491313,2996508.4167232835,99131989.69624804
25,16.14670354038289,3120116.4934446933,103221253.89438407
26,16.71915886845179,3230735.1907163044,106880796.94687214
27,17.2260795486202,3328690.266878194,110121395.75399786
28,17.670790046352614,3414624.126709871,112964302.67187932
29,18.05773577517618,3489395.781961415,115437935.95673852
30,18.392022719336847,3553991.8901026426,117574936.70432068
31,18.679038965043024,3609453.620719961,119409749.40746811
32,18.92416505746009,3656820.68620248,120976770.35129355
33,19.132568127648234,3697091.5597558515,122309031.52562296
34,19.30906805408715,3731197.613056238,123437345.033933
35,19.45806132628685,3759988.403996316,124389816.37520812
36,19.583488382634336,3784225.365197421,125191635.6441437
37,19.68883180932238,3804581.455978633,125865066.01741314
38,19.777135040544273,3821644.775898443,126429563.29866025
39,19.851033536589966,3835924.5894700657,126901975.23114346
40,19.912792531570595,3847858.620362235,127296782.80813365
41,19.964347205130498,3857820.8140004664,127626357.07917044
42,20.00734251761283,3866129.0351355993,127901213.80487348
43,20.043170987150273,3873052.367719186,128130254.95506999
44,20.073007435563408,3878817.8290448873,128320990.8293775
45,20.097840248332414,3883616.4102850403,128479739.89325486
46,20.118499038065945,3887608.4220551825,128611805.6226406
47,20.135678817783734,3890928.165550637,128721631.03682896
48,20.14996091722591,3893687.974320217,128812932.4104486
49,20.161830940660817,3895981.6843523723,128888814.07258737
50,20.17169408915616,3897887.5948820757,128951866.35768628
51,20.17988816893971,3899470.9820680306,129004248.76426564
52,20.186694590714882,3900786.2244510315,129047760.27040127
53,20.192347639680193,3901878.594250899,129083898.59430537
54,20.197042267188518,3902785.762991729,129113910.00417389
55,20.20094062543533,3903539.0642357147,129138831.09257804
56,20.204177538077452,3904164.550700941,129159523.7485639
57,20.206865073260374,3904683.8779326556,129176704.39170709
58,20.209096361657934,3905115.0420841156,129190968.37974776
59,20.210948780958137,3905472.995272324,129202810.36609668
60,20.212486609715253,3905770.158396498,129212641.26515216
61,20.213763237467163,3906016.8482112186,129220802.38094765
62,20.214823004265178,3906221.632788914,129227577.16673926
63,20.21570273103476,3906391.6272398946,129233201.00816382
64,20.216432992232647,3906532.7396349018,129237869.35897166
65,20.217039173854385,3906649.8754497305,129241744.50456572
66,20.21754235276011,3906747.1074821996,129244961.18327987
67,20.21796002733325,3906827.8170413543,129247631.25727062
68,20.218306724495406,3906894.811244299,129249847.59298953
69,20.21859450392385,3906950.420448922,129251687.28450148
70,20.218833376827302,3906996.579176246,129253214.33059818
71,20.219031653721892,3907034.893313093,129254481.85803041
72,20.219196233219584,3907066.6959162652,129255533.96764986
